ingredient,fdc_id,description,data_type,brand_owner,source,flag,mapping_status,semantic_match_score,nutritional_similarity_score,reasoning,retry_attempts,search_queries_used,timestamp,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
ponzu sauce,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"ponzu sauce OR ponzu, sauce ponzu raw, ponzu",2026-01-09T20:57:51.011549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirin,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"mirin rice wine, mirin rice wine raw, mirin",2026-01-09T20:58:59.727899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rice wine,167723,"Alcoholic beverage, rice (sake)",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,sake rice wine,2026-01-09T21:02:55.466903,,16.1 g,,,,,,,,5.0 mg,561.0 kJ,,,,0.009 mg,,,,,,,,,,,,,,,,,,,,,0.1 mg,,,,,,,,,6.0 mg,,,,,,,,,,,,,,,,,,,,,6.0 mg,,25.0 mg,,0.5 g,,,,,,,,,,,,1.4 µg,,,,,,,,,,2.0 mg,,,,,,,,5.0 g,,,,,,,,,,,,,,,78.4 g,0.02 mg
tzatziki,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"tzatziki sauce, tzatziki sauce raw, tzatziki",2026-01-09T21:03:24.903207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapenade,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"tapenade, tapenade olive raw, tapenade",2026-01-09T21:05:24.374699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guacamole,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"guacamole prepared, guacamole raw, guacamole",2026-01-09T21:06:20.460425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chutney,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"chutney prepared, chutney raw, chutney",2026-01-09T21:07:25.809745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandy,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"brandy distilled, brandy 80 proof raw, brandy",2026-01-09T21:08:45.640230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bourbon,174819,"Alcoholic beverage, distilled, whiskey, 86 proof",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,90,,Direct mapping based on high semantic match score (90.0%). Step 4 (nutritional similarity) was skipped.,1,whiskey bourbon,2026-01-09T21:09:57.695259,,36.0 g,,,,,,,,,1046.0 kJ,,,,0.014 mg,,,,,,,,,,,,,,,,,,,,,0.02 mg,,,,,,,,,,,0.008 mg,,,,,,,,,,0.05 mg,,,,,,,,,3.0 mg,,1.0 mg,,,,,,,,,,,,0.001 mg,,,,,,,,,,,,,,,,,,0.008 mg,,0.1 g,,0.1 g,,,,,,,,,,,,,63.9 g,0.02 mg
sherry,173176,"Alcoholic beverage, wine, dessert, sweet",SR Legacy,,search,MID_CONFIDENCE,search_verified_mid,88,89,"Closest overall match to sherry’s expected profile because it is a fortified dessert wine with comparable alcohol-derived calories and carbohydrate content. Core macronutrients (40% weight): calories are higher by ~18% (160 vs 136 kcal), consistent with slightly higher ABV/residual sugar; protein matches exactly (0.2 g); fat is effectively 0 g in wines; carbs are +14% (13.69 vs 12 g). This yields a strong macronutrient alignment aside from the modest calorie uptick. Vitamins/minerals (30%): vitamins A, C, D are effectively zero as expected; calcium and iron are lower than expected (8 vs 13 mg Ca; 0.24 vs 0.4 mg Fe), while potassium is slightly higher (92 vs 82 mg). These mineral shifts are typical variability across grape variety/fortification and are nutritionally minor compared with ethanol energy. Other nutrients (30%): sugars are moderately lower than expected (7.78 vs 12 g), suggesting this USDA entry represents a less-sweet dessert/fortified wine than the target sherry profile; sodium is nearly identical (9 vs 8 mg); fiber and saturated fat are 0 as expected. The main penalties come from sugars being ~35% below expected and calories being ~18% above expected; all other nutrients align closely or within plausible varietal/style variation for sherry.",1,wine sherry,2026-01-09T21:10:26.216147,,15.3 g,,,,0.3 g,,,,8.0 mg,671.0 kJ,,,5.0 mg,0.045 mg,,,,,,,,,,,,,,,,,,,,,0.24 mg,,,,,,,,,9.0 mg,,0.119 mg,,,,,,,,,,0.213 mg,,,,,,,,,9.0 mg,,92.0 mg,,0.2 g,,,,,,,,,,0.018 mg,,0.5 µg,,,,,,,,,,9.0 mg,,,,,,0.018 mg,,13.69 g,,7.78 g,,,,,,,0.032 mg,,,,,,70.51 g,0.07 mg
