ingredient,fdc_id,description,data_type,brand_owner,source,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
capsicum,2258588,"Peppers, bell, green, raw",Foundation,,search,,,,,,0.2806 g,,,,7.496 mg,19.692148 kcal,,,,0.05775 mg,,,,,0.9419 g,,,,,,,22.21 µg,,,,,,,,,0.1861 mg,,,,,,,,,9.004 mg,,0.09991 mg,,,,,,,,,,0.6363 mg,,,,,,,,,16.75 mg,,163.1 mg,,0.715 g,,,,,,,,,,0.08875 mg,,,,,,,,,,,,,,,,,,0.03906 mg,,4.7781 g,0.1063 g,,,,,,,,,0.2468 mg,99.51 mg,,,,94.12 g,0.1256 mg
red pepper flakes,2258590,"Peppers, bell, red, raw",Foundation,,search,,,,,,0.3956 g,,,,6.361 mg,26.98843175 kcal,,,,0.03983 mg,,,,,1.158 g,,,,,,,47.32 µg,,,,,,,,,0.3533 mg,,,,,,,,,10.98 mg,,0.1328 mg,,,,,,,,,,1.024 mg,,,,,,,,,26.59 mg,,212.7 mg,,0.895625 g,,,,,,,,,,0.1422 mg,,,,,,,,,,,,,,,,,,0.05494 mg,,6.653175 g,0.1256 g,,,,,,,,,0.3027 mg,141.7 mg,,,,91.93 g,0.2023 mg
bay leaves,2747666,"Scallops, bay, Patagonian, frozen, wild caught",Foundation,,search,,,,,,1.48 g,,,,14.03 mg,78.456 kcal,,,,,,,,,,,,,,,,,,,,,,,,,0.1717 mg,,,,,,,,,46.44 mg,,0.0031 mg,,,,,,,,,,,,,,,,,,,229.1 mg,,292.0 mg,,16.3875 g,,,,,,,,,,,,28.37 µg,,,,,,,,,,252.4 mg,,,,,,,,2.2833 g,0.4192 g,,,,,,,0.67 µg,,,,,,,79.43 g,1.025 mg
jasmine rice,2710825,"Rice, black, unenriched, raw",Foundation,,search,,,,,,1.345 g,,,,14.4 mg,360.53871 kcal,,,,0.2095 mg,,,,,4.179 g,,,,,,,,,,,,,,,,1.116 mg,,,,,,,,,113.4 mg,,3.906 mg,,,,,,,,,,8.278 mg,,,,,,,,,306.7 mg,,255.6 mg,,7.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3188 mg,,77.18825 g,3.438 g,,,,,,,,,0.2024 mg,,,,,10.46 g,1.716 mg
basmati rice,2710825,"Rice, black, unenriched, raw",Foundation,,search,,,,,,1.345 g,,,,14.4 mg,360.53871 kcal,,,,0.2095 mg,,,,,4.179 g,,,,,,,,,,,,,,,,1.116 mg,,,,,,,,,113.4 mg,,3.906 mg,,,,,,,,,,8.278 mg,,,,,,,,,306.7 mg,,255.6 mg,,7.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3188 mg,,77.18825 g,3.438 g,,,,,,,,,0.2024 mg,,,,,10.46 g,1.716 mg
green lentils,2727585,"Green onion, (scallion), bulb and greens, root removed, raw",Foundation,,search,,,,,,0.6269 g,,,,59.44 mg,,,,,0.03499 mg,,,,,2.3 g,,,,,,,,,,,,,,,,1.044 mg,,,,,,,,,18.94 mg,,0.2713 mg,,,,,,,,,,,,,,,,,,,27.86 mg,,232.0 mg,,0.66875 g,,,,,,,,,,,,,,,,,,,,,,9.948 mg,,,,,,,,,,2.618 g,,,,,,,,,,,,,91.67 g,0.2484 mg
vanilla bean,2644281,"Beans, cannellini, dry",Foundation,,search,,,,,,4.143 g,,,,142.9 mg,336.59519 kcal,,,,0.7419 mg,,,,,,,,,,,,,,,,,,,,,6.673 mg,,,,,,,,,153.6 mg,,1.784 mg,,,,,,,,,,,,,,,,,,,412.3 mg,,1424.0 mg,,21.5625 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7955 g,2.199 g,,,,,,,,,,,,,,12.3 g,2.72 mg
cocoa powder,169593,"Cocoa, dry powder, unsweetened",SR Legacy,,search,0.904 g,,,,1.111 g,5.8 g,1.953 g,,230.0 mg,128.0 mg,952.0 kJ,,,12.0 mg,3.788 mg,,,0.239 g,,37.0 g,,,,,,,,,2.948 g,,,0.879 g,,0.339 g,,13.86 mg,0.76 g,,,1.189 g,38.0 µg,,,0.983 g,499.0 mg,,3.837 mg,0.202 g,4.57 g,,,,,,,,2.185 mg,,,,,,,,0.941 g,734.0 mg,0.44 g,1524.0 mg,0.838 g,19.6 g,,,,,,,,,,0.241 mg,8.07 g,14.3 µg,0.846 g,,,,,,,,,21.0 mg,,,,,2057.0 mg,0.078 mg,0.776 g,57.9 g,13.7 g,1.75 g,,0.293 g,0.735 g,1.177 g,,,0.254 mg,0.118 mg,,,0.1 mg,2.5 µg,3.0 g,6.81 mg
dijon mustard,326698,"Mustard, prepared, yellow",Foundation,,search,0.18 g,,,,0.277 g,3.37 g,0.427 g,,,63.0 mg,254.0 kJ,,,,0.074 mg,27.0 µg,,0.08 g,,4.3 g,,,,,,,7.0 µg,,0.793 g,,,0.25 g,,0.13 g,,1.59 mg,0.16 g,,,0.32 g,115.0 µg,,,0.29 g,47.7 mg,,0.42 mg,0.083 g,2.59 g,,,,,,,,0.561 mg,,,,,,,,0.177 g,108.0 mg,0.903 g,150.0 mg,0.393 g,4.25 g,,,,,,,,,,0.066 mg,0.252 g,34.0 µg,0.223 g,,,,,,,,,1100.0 mg,,,,,,0.189 mg,0.183 g,6.39 g,0.006 g,1.42 g,0.01 g,0.01 g,0.147 g,0.207 g,4.0 µg,,0.263 mg,0.069 mg,0.4 mg,,0.35 mg,1.5 µg,83.7 g,0.64 mg
apple cider vinegar,1750342,"Apples, granny smith, with skin, raw",Foundation,,search,,,,,,0.3139 g,,,,5.483 mg,52.958085 kcal,,,,0.03544 mg,,,,,2.514 g,,,,,,,,,,,,,,,,0.06963 mg,,,,,,,,,5.055 mg,,0.03934 mg,,,,,,,,,,0.11 mg,,,,,,,,,9.859 mg,,115.9 mg,,0.265625 g,,,,,,,,,,0.075 mg,,,,,,,,,,,,,,,,,,0.01688 mg,,13.164 g,0.1375 g,10.65 g,,,,,,,,0.02788 mg,,,,,85.14 g,0.02276 mg
white vinegar,172241,"Vinegar, balsamic",SR Legacy,,search,,,,,,0.37 g,,,,27.0 mg,369.0 kJ,,,,0.026 mg,,,,,,,,,,,,,,,,,,,,,0.72 mg,,,,,,,,,12.0 mg,,0.131 mg,,,,,,,,,,,,,,,,,,,19.0 mg,,112.0 mg,,0.49 g,,,,,,,,,,,,,,,,,,,,,,23.0 mg,,,,,,,,17.03 g,,14.95 g,,,,,,,,,,,,,76.45 g,0.08 mg
rice vinegar,2710825,"Rice, black, unenriched, raw",Foundation,,search,,,,,,1.345 g,,,,14.4 mg,360.53871 kcal,,,,0.2095 mg,,,,,4.179 g,,,,,,,,,,,,,,,,1.116 mg,,,,,,,,,113.4 mg,,3.906 mg,,,,,,,,,,8.278 mg,,,,,,,,,306.7 mg,,255.6 mg,,7.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3188 mg,,77.18825 g,3.438 g,,,,,,,,,0.2024 mg,,,,,10.46 g,1.716 mg
bone broth,746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Foundation,,search,,,,,,1.02 g,,,,19.0 mg,918.0 kJ,,80.0 mg,,0.078 mg,,,,,,,,,,,,,,,,,,,,,3.53 mg,,,,,,,,,20.0 mg,,0.003 mg,,4.67 g,,,,,,,,6.37 mg,,,,,,,,,211.0 mg,0.514 g,283.0 mg,,27.3 g,,,,,,,,,,0.27 mg,4.68 g,29.7 µg,,,,,,,,,,67.0 mg,,,,,,,,,0.06 g,,0.594 g,,,,,1.88 µg,,0.753 mg,,,,,60.3 g,4.69 mg
prosciutto,746952,"Ham, sliced, restaurant",Foundation,,search,,,,,,3.63 g,,,,6.0 mg,507.0 kJ,,,,0.041 mg,,,,,,,,,,,,,,,,,,,,,0.86 mg,,,,,,,,,20.3 mg,,0.015 mg,,1.6 g,,,,,,,,,,,,,,,,,246.0 mg,0.675 g,484.0 mg,,19.6 g,,,,,,,,,,,1.25 g,,,,,,,,,,,1030.0 mg,,,,,,,,2.36 g,,2.2 g,0.017 g,,,,,,,,,,,,70.7 g,1.76 mg
pancetta,2514745,"Pork, ground, raw",Foundation,,search,,,,,,0.9243 g,,,,5.857 mg,233.442059 kcal,,71.16 mg,,0.0666 mg,,,,,,,,,,,,,,,,,,,,,0.7876 mg,,,,,,,,,19.03 mg,,,,7.777 g,,,,,,,,,,,,,,,,,173.3 mg,2.553 g,317.7 mg,,17.80625 g,,,,,,,,,,,6.283 g,,,,,,,,,,,53.63 mg,,,,,,,,,17.49 g,,0.066 g,,,,,,,,,,,,63.87 g,2.226 mg
prawns,2684443,"Crustaceans, shrimp, farm raised, raw",Foundation,,search,,,,,,1.865 g,,,,64.63 mg,75.699433 kcal,,136.0 mg,,0.2084 mg,,,,,,,,,,,,,,,,,,,,,0.5223 mg,,,,,,,,,22.53 mg,,0.02866 mg,,,,,,,,,,,,,,,,,,,190.6 mg,,145.9 mg,,15.56875 g,,,,,,,,,0.6478 µg,,,19.48 µg,,,,,,,,,,474.9 mg,,,,,,,,0.48495 g,0.8013 g,,,,,,,0.9963 µg,,,,,,,81.28 g,0.9368 mg
seitan,790085,"Flour, whole wheat, unenriched",Foundation,,search,,,,,,1.56 g,,,,38.0 mg,1550.0 kJ,,,,0.452 mg,,,,,10.6 g,,,,,,,39.0 µg,,,,,,,,,3.86 mg,,,,,,,,,136.0 mg,,3.56 mg,,,,,,,,,,5.55 mg,,,,,,,,,352.0 mg,,376.0 mg,,15.1 g,,,,,,,,,,0.128 mg,,23.6 µg,,,,,,,,,,3.0 mg,,,,,,0.504 mg,,71.2 g,2.73 g,,,,,,,,,0.268 mg,,,,,9.44 g,3.24 mg
