ingredient
ponzu sauce
mirin
tzatziki
tapenade
guacamole
chutney
brandy
gelato
sorbet
crystallized ginger
nutritional yeast
brewer's yeast
chlorella
water chestnuts
kalamata olives
purple potatoes
new potatoes
blood orange
fresh oregano
fresh tarragon
cinnamon sticks
whole cloves
smoked paprika
kosher salt
sea salt
himalayan pink salt
flaky sea salt
pink peppercorns
szechuan peppercorns
chickpea pasta
lentil pasta
multigrain bread
european butter
raw milk
low-moisture mozzarella
mozzarella di bufala
toasted sesame oil
bittersweet chocolate
vanilla bean paste
