ingredient,fdc_id,description,data_type,brand_owner,source,flag,mapping_status,semantic_match_score,nutritional_similarity_score,reasoning,retry_attempts,search_queries_used,timestamp,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
ponzu sauce,,,,,,NO_MAPPING_FOUND,no_search_results,60,,No search results found after 3 attempts with different queries,3,"ponzu sauce OR ponzu, sauce soy ponzu raw, ponzu",2026-01-14T00:19:31.715377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirin,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"mirin rice wine, mirin rice wine raw, mirin",2026-01-14T00:22:47.909479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tzatziki,2705448,Tzatziki dip,Survey (FNDDS),,search,HIGH_CONFIDENCE,search_verified_semantic_high,99,,Direct mapping based on high semantic match score (99.0%). Step 4 (nutritional similarity) was skipped.,2,"tzatziki sauce, tzatziki",2026-01-14T00:26:22.497773,,,,,,,,,,70.0 mg,91.0 kcal,,10.0 mg,11.0 mg,0.031 mg,10.0 µg,,,,0.2 g,,,,,,,,,,,,,,,,0.03 mg,,,,,9.0 µg,,,,10.0 mg,,,,2.9 g,,,,,,,,0.171 mg,,,,,,,,,81.0 mg,0.605 g,150 mg,,5.22 g,,,,,,,,,21.0 µg,0.15 mg,1.89 g,5.6 µg,,,,,,,,,,307 mg,,,,,,0.043 mg,,4.1 g,6.0 g,2.5 g,,,,,23.0 µg,0.42 µg,,0.05 mg,1.8 mg,,0.74 mg,9.8 µg,83.4 g,0.35 mg
tapenade,2710092,Olive tapenade,Survey (FNDDS),,search,HIGH_CONFIDENCE,search_verified_semantic_high,98,,Direct mapping based on high semantic match score (98.0%). Step 4 (nutritional similarity) was skipped.,1,tapenade,2026-01-14T00:27:47.433118,,,,,,,,,,60.0 mg,282 kcal,,,9.5 mg,0.162 mg,3.0 µg,,,,1.8 g,,,,,,,,,,,,,,,,3.4 mg,,,,,408 µg,,,,5.0 mg,,,,20.9 g,,,,,,,,0.09 mg,,,,,,,,,3.0 mg,2.6 g,17.0 mg,,0.73 g,,,,,,,,,,0.002 mg,4.85 g,0.7 µg,,,,,,,,,,835 mg,,,,,,0.008 mg,,4.17 g,30.0 g,0.16 g,,,,,14.0 µg,,,0.014 mg,0.4 mg,,6.14 mg,6.3 µg,62.6 g,0.12 mg
guacamole,2709307,"Guacamole, NFS",Survey (FNDDS),,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,2,"guacamole prepared, guacamole",2026-01-14T00:27:57.132020,,,,,,,,,,12.0 mg,155 kcal,,,13.9 mg,0.184 mg,27.0 µg,,,,6.5 g,,,,,,,,,,,,,,,,0.54 mg,,,,,262 µg,,,,28.0 mg,,,,9.48 g,,,,,,,,1.68 mg,,,,,,,,,51.0 mg,1.76 g,472 mg,,1.95 g,,,,,,,,,,0.126 mg,2.06 g,0.4 µg,,,,,,,,,,344 mg,,,,,,0.066 mg,,8.45 g,14.2 g,0.72 g,,,,,7.0 µg,,,0.251 mg,10.2 mg,,2.0 mg,20.3 µg,73.0 g,0.62 mg
chutney,2709309,Chutney,Survey (FNDDS),,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,2,"chutney prepared, chutney",2026-01-14T00:29:33.081341,,,,,,,,,,19.0 mg,246 kcal,,,9.0 mg,0.089 mg,,,,,1.0 g,,,,,,,,,,,,,,,,0.43 mg,,,,,,,,,4.0 mg,,,,0.033 g,,,,,,,,0.032 mg,,,,,,,,,17.0 mg,,68.0 mg,,0.33 g,,,,,,,,,,0.067 mg,0.009 g,1.8 µg,,,,,,,,,,802 mg,,,,,,0.014 mg,,60.6 g,0.06 g,42.7 g,,,,,,,,0.018 mg,7.7 mg,,0.11 mg,,36.3 g,0.05 mg
brandy,2710699,Brandy,Survey (FNDDS),,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,2,"brandy distilled, brandy",2026-01-14T00:30:50.040355,,33.4 g,,,,,,,,,231 kcal,,,,0.021 mg,,,,,,,,,,,,,,,,,,,,,0.04 mg,,,,,,,,,,,,,,,,,,,,,0.013 mg,,,,,,,,,4.0 mg,,2.0 mg,,,,,,,,,,,,0.004 mg,,,,,,,,,,,,1.0 mg,,,,,,0.006 mg,,,,,,,,,,,,0.001 mg,,,,,66.6 g,0.04 mg
gelato,2705636,"Gelato, vanilla",Survey (FNDDS),,search,HIGH_CONFIDENCE,search_verified_semantic_high,90,,Direct mapping based on high semantic match score (90.0%). Step 4 (nutritional similarity) was skipped.,1,gelato,2026-01-14T00:31:53.436417,,,,,,,,,,117 mg,249 kcal,,92.0 mg,26.0 mg,0.008 mg,1.0 µg,,,,,,,,,,,,,,,,,,,,0.34 mg,,,,,34.0 µg,,,,11.0 mg,,,,4.46 g,,,,,,,,0.082 mg,,,,,,,,,105 mg,0.68 g,157 mg,,3.5 g,,,,,,,,,179 µg,0.167 mg,10.3 g,3.5 µg,,,,,,,,,,61.0 mg,,,,,,0.041 mg,,22.3 g,16.2 g,20.6 g,,,,,182 µg,0.39 µg,,0.045 mg,,0.3 µg,0.51 mg,1.3 µg,57.2 g,0.47 mg
sorbet,2709314,Sorbet,Survey (FNDDS),,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,2,"sorbet frozen, sorbet",2026-01-14T00:32:18.326101,,,,,,,,,,3.0 mg,110 kcal,,,4.0 mg,0.007 mg,,,,,0.5 g,,,,,,,,,,,,,,,,0.17 mg,,,,,17.0 µg,,,,2.0 mg,,,,,,,,,,,,0.082 mg,,,,,,,,,3.0 mg,0.015 g,28.0 mg,,0.79 g,,,,,,,,,,0.009 mg,,0.2 µg,,,,,,,,,,13.0 mg,,,,,,0.006 mg,,27.1 g,0.05 g,25.8 g,,,,,,,,0.013 mg,5.2 mg,,,0.4 µg,71.9 g,0.04 mg
crystallized ginger,,,,,,NO_MAPPING_FOUND,semantic_score_too_low,5,,Semantic score (5.0%) below 65% threshold. Skipping nutritional verification.,3,"crystallized ginger, ginger crystallized raw, crystallized",2026-01-14T00:34:19.117941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
